Summary,Issue Type,Description,Priority,Labels,Components,Assignee,Epic Name
"PROJ-1 Scope freeze and module lock","Task","Finalize in-scope modules: Auth, Students, Attendance, Grades, Basic Dashboard. Define out-of-scope list and lock by sign-off.","Highest","planning,mvp","Program","senior1","MERN-15D-MVP"
"PROJ-2 Role matrix and access policy","Task","Define Admin/Teacher/Staff access matrix and route-level permissions for backend and frontend guards.","Highest","auth,planning","Core","senior1","MERN-15D-MVP"
"PROJ-3 API standards and error schema","Task","Create API conventions: response envelope, pagination format, validation error shape, HTTP status policy.","High","backend,standards","Core","senior1","MERN-15D-MVP"
"PROJ-4 Repo setup and CI baseline","Task","Initialize monorepo, lint/test/build scripts, branch policy, PR template, and CI checks.","Highest","devops,setup","Platform","senior2","MERN-15D-MVP"
"CORE-1 Auth backend login/refresh/logout","Story","Implement authentication endpoints with secure token flow and role claims.","Highest","auth,backend","Core","senior1","MERN-15D-MVP"
"CORE-2 Protected routes and role guards frontend","Story","Add route guards, role-aware navigation, and session handling in React app shell.","Highest","auth,frontend","Core","senior2","MERN-15D-MVP"
"CORE-3 App shell and navigation layout","Story","Create responsive app shell: sidebar/topbar, breadcrumbs, module nav, and base page layout.","High","frontend,ui","Core","senior2","MERN-15D-MVP"
"CORE-4 MySQL connection and config management","Task","Implement environment-based DB config, connection pooling, and health-check endpoint.","Highest","mysql,backend","Core","senior3","MERN-15D-MVP"
"STU-1 Students list API","Story","Create API for students list with pagination, search, and sort.","Highest","students,backend","Students","junior2","MERN-15D-MVP"
"STU-2 Student details API","Story","Create API to fetch student profile details by ID.","High","students,backend","Students","junior2","MERN-15D-MVP"
"STU-3 Student create and update API","Story","Create API endpoints for student create and update with validation rules.","Highest","students,backend,validation","Students","junior2","MERN-15D-MVP"
"STU-4 Students list UI with search","Story","Build students listing screen with search/filter and pagination controls.","High","students,frontend,ui","Students","junior1","MERN-15D-MVP"
"STU-5 Student form UI create/edit","Story","Build create/edit student forms with validation and API integration.","Highest","students,frontend,forms","Students","junior1","MERN-15D-MVP"
"STU-6 Students smoke tests","Task","Add smoke tests for students list, create, edit and error states.","High","students,qa,testing","Students","junior3","MERN-15D-MVP"
"ATT-1 Attendance mark API","Story","Create endpoint to mark attendance per class/date with validation and permission checks.","Highest","attendance,backend","Attendance","junior2","MERN-15D-MVP"
"ATT-2 Attendance daily summary API","Story","Create endpoint for daily attendance summary and basic aggregates.","High","attendance,backend,reporting","Attendance","junior2","MERN-15D-MVP"
"ATT-3 Attendance marking UI","Story","Build teacher-facing attendance marking screen with status controls.","Highest","attendance,frontend,ui","Attendance","junior1","MERN-15D-MVP"
"ATT-4 Attendance summary UI","Story","Build attendance daily summary page using ATT-2 API.","High","attendance,frontend,ui","Attendance","junior1","MERN-15D-MVP"
"ATT-5 Attendance validation and edge handling","Task","Handle duplicates, date validation, and missing student cases with proper error messages.","High","attendance,validation","Attendance","senior1","MERN-15D-MVP"
"ATT-6 Attendance smoke tests","Task","Add smoke test coverage for attendance mark and summary workflows.","High","attendance,qa,testing","Attendance","junior3","MERN-15D-MVP"
"GRD-1 Grades entry API","Story","Create API to submit and update student grades for configured subjects.","Highest","grades,backend","Grades","junior2","MERN-15D-MVP"
"GRD-2 Grades fetch API","Story","Create API to read student grades for teacher and student views.","High","grades,backend","Grades","junior2","MERN-15D-MVP"
"GRD-3 Grades entry UI","Story","Build grade entry UI with inline validation and save feedback.","Highest","grades,frontend,ui","Grades","junior1","MERN-15D-MVP"
"GRD-4 Grades view UI","Story","Build grades viewing screen for list/detail display.","High","grades,frontend,ui","Grades","junior1","MERN-15D-MVP"
"GRD-5 Grades validation and role checks","Task","Add validation and role-based restrictions for grade modification.","High","grades,auth,validation","Grades","senior1","MERN-15D-MVP"
"GRD-6 Grades smoke tests","Task","Add smoke tests for grade entry and grade view workflows.","High","grades,qa,testing","Grades","junior3","MERN-15D-MVP"
"DB-1 Legacy-to-new schema mapping sheet","Task","Document current MySQL tables/columns and map to new API DTOs for MVP modules.","Highest","mysql,data,migration","Data","senior3","MERN-15D-MVP"
"DB-2 Seed and demo data scripts","Task","Create deterministic seed scripts for demo and QA environments.","High","mysql,data,seeding","Data","senior3","MERN-15D-MVP"
"QA-1 End-to-end smoke suite setup","Task","Create smoke test project and integrate with CI for critical user journeys.","Highest","qa,automation,ci","QA","junior3","MERN-15D-MVP"
"INT-1 Cross-module integration runbook","Task","Define and execute integration checklist across auth, students, attendance, grades.","High","integration,qa","Integration","senior3","MERN-15D-MVP"
"INT-2 Dashboard basic cards","Story","Implement dashboard cards for student count, attendance summary, and pending grade actions.","Medium","dashboard,frontend,backend","Integration","senior2","MERN-15D-MVP"
"INT-3 RC1 bug triage and fixes","Task","Triaging and fixing all P0/P1 issues for release candidate 1.","Highest","bugfix,release","Integration","senior1","MERN-15D-MVP"
"REL-1 Day-10 demo signoff","Task","Prepare and run major milestone demo with acceptance checklist signoff.","Highest","demo,milestone","Release","senior2","MERN-15D-MVP"
"REL-2 Day-15 final handover pack","Task","Finalize release notes, known issues, setup docs, and rollback plan.","High","release,docs","Release","junior3","MERN-15D-MVP"
